video_name,resolution,fps,yt_id
20221009-W-Ostrava-F-Iga_Swiatek-Barbora_Krejcikova,1280x720,25.0,Ym2XI1FeCxg
20211017-W-Indian_Wells-F-Victoria_Azarenka-Paula_Badosa,1280x720,25.0,TPKtTzU-9rE
20210815-W-Montreal-F-Karolina_Pliskova-Camila_Giorgi,1280x720,23.976023976023978,Y4aQrXhbknU
20210731-W-Olympics-F-Belinda_Bencic-Marketa_Vondrousova,1280x720,25.0,gGM9F18kk2M
20210401-W-Miami-SF-Bianca_Andreescu-Maria_Sakkari,1280x720,25.0,7u63Js0I9Lo
20200218-W-Dubai-R32-Elena_Rybakina-Sofia_Kenin,1280x720,25.0,r7mXCzipgBM
20200111-W-Brisbane-SF-Naomi_Osaka-Karolina_Pliskova,1280x720,25.0,cZI2JfMF88I
20200110-W-Auckland-QF-Amanda_Anisimova-Eugenie_Bouchard,1280x720,25.0,uaL3MnGIc3E
20191027-W-Shenzhen_Finals-RR-Naomi_Osaka-Petra_Kvitova,1280x720,25.0,zy429BSVOGs
20191006-W-Beijing-F-Ashleigh_Barty-Naomi_Osaka,1280x720,25.0,u5h2JYSppcE
20190921-M-Laver_Cup-RR-Roger_Federer-Nick_Kyrgios,1280x720,25.0,bqMbY7IKCeU
20190920-M-Laver_Cup-RR-Denis_Shapovalov-Dominic_Thiem,1280x720,25.0,TOCSoYBNGXo
20190818-W-Cincinnati-F-Madison_Keys-Svetlana_Kuznetsova,1280x720,25.0,Ph-pB_KrPsU
20190809-W-Toronto-QF-Serena_Williams-Naomi_Osaka,1280x720,25.0,RQ_lEQXnGs8
20190428-W-Istanbul-F-Petra_Martic-Marketa_Vondrousova,1280x720,25.0,MclGVDuMVfk
20190323-W-Miami-R32-Su_Wei_Hsieh-Naomi_Osaka,1280x720,25.0,SP7gkXCSZCs
20190317-W-Indian_Wells-F-Angelique_Kerber-Bianca_Andreescu,1280x720,25.0,BLzO4AZOFB0
20190315-W-Indian_Wells-SF-Bianca_Andreescu-Elina_Svitolina,1280x720,25.0,HMUeuLszBxo
20190312-W-Indian_Wells-R16-Aryna_Sabalenka-Angelique_Kerber,1280x720,25.0,MmQzathbUO0
20190308-W-Indian_Wells-R64-Serena_Williams-Victoria_Azarenka,1280x720,25.0,2VmOYwoHAKU
20190103-W-Auckland-QF-Eugenie_Bouchard-Julia_Goerges,1280x720,25.0,WARYHIiPik8
20180318-M-Indian_Wells_Masters-F-Roger_Federer-Juan_Martin_Del_Potro,1280x720,29.97002997002997,LKn2F_j7FY0
20170924-M-Laver_Cup-RR-Roger_Federer-Nick_Kyrgios,1280x720,29.97002997002997,L6x0Ka3D3tQ
20160814-M-Olympics-F-Andy_Murray-Juan_Martin_Del_Potro,1280x720,25.0,2Vb-W2NMRDc
20151101-W-Singapore-F-Petra_Kvitova-Agnieszka_Radwanska,1280x720,25.0,Ky6GaDPQHTU
20150501-M-Estoril-QF-Richard_Gasquet-Nicolas_Almagro,1280x720,30.0,2P_eB23zLGs
20141123-M-Davis_Cup_World_Group_F-RR-Richard_Gasquet-Roger_Federer,1280x720,25.0,MnWluW9okLs
20141026-M-Valencia-F-Andy_Murray-Tommy_Robredo,1280x720,25.0,dHoJ4usbIAw
20130316-M-Indian_Wells_Masters-SF-Tomas_Berdych-Rafael_Nadal,1280x720,25.0,_OFt6tqsUvY
20120804-M-Olympics-F-Andy_Murray-Roger_Federer,1280x720,25.0,YPUhGNmW4Pc
20120803-M-Olympics-SF-Juan_Martin_Del_Potro-Roger_Federer,1280x720,25.0,TVb83wqW2c8
20120802-W-Olympics-QF-Kim_Clijsters-Maria_Sharapova,1280x720,25.0,uPkAgezBKjs
20120801-M-Olympics-R16-Andy_Murray-Marcos_Baghdatis,1280x720,25.0,-QRny0ErmQk
20120731-W-Olympics-R32-Laura_Robson-Maria_Sharapova,1280x720,25.0,SUBUXPgF0X4
20120731-M-Olympics-R32-Novak_Djokovic-Andy_Roddick,1280x720,25.0,tgiJc7adir4
20120730-W-Olympics-R64-Serena_Williams-Jelena_Jankovic,1280x720,25.0,7wze9bFuowM
20120730-M-Olympics-R32-Juan_Martin_Del_Potro-Andreas_Seppi,1280x720,25.0,k4SSd-v0hgQ
20120725-M-Olympics-R32-Roger_Federer-Julien_Benneteau,1280x720,25.0,kXlY1PLcLeg
20030921-M-Davis_Cup_World_Group_SF-RR-Roger_Federer-Lleyton_Hewitt,1280x720,25.0,kkq0BGUxv84
20230716-M-Wimbledon-F-Novak_Djokovic-Carlos_Alcaraz,1280x720,25.0,5uFAkizQNJI
20190712-M-Wimbledon-SF-Roger_Federer-Rafael_Nadal,1280x720,25.0,wZnCcqm_g-E
20190714-M-Wimbledon-F-Roger_Federer-Novak_Djokovic,1280x720,25.0,TUikJi0Qhhw
20190704-M-Wimbledon-R64-Rafael_Nadal-Nick_Kyrgios,1280x720,25.0,T4S5YmO0KOU
20180711-M-Wimbledon-QF-Rafael_Nadal-Juan_Martin_Del_Potro,1280x720,25.0,S5LVbZUgM48
20150702-M-Wimbledon-R64-Dustin_Brown-Rafael_Nadal,1280x720,25.0,3FrNVOfQVfU
20180713-M-Wimbledon-SF-Rafael_Nadal-Novak_Djokovic,1280x720,25.0,V96sSCV03ng
20090705-M-Wimbledon-F-Andy_Roddick-Roger_Federer,1280x720,25.0,S2feVY-oceU
20120628-M-Wimbledon-R64-Lukas_Rosol-Rafael_Nadal,1280x720,23.976023976023978,b5WcNP2gj28
20140706-M-Wimbledon-F-Novak_Djokovic-Roger_Federer,1280x720,25.0,OWBdi9uwMVw
20100621-M-Wimbledon-R128-Roger_Federer-Alejandro_Falla,1280x720,25.0,36juj449HA0
20180710-W-Wimbledon-QF-Camila_Giorgi-Serena_Williams,1280x720,25.0,EjqeygN7Tf0
20190713-W-Wimbledon-F-Serena_Williams-Simona_Halep,1280x720,25.0,fduc5bZx3ss
20190701-W-Wimbledon-R128-Venus_Williams-Cori_Gauff,1280x720,25.0,RmctP3ffidY
20190705-W-Wimbledon-R32-Cori_Gauff-Polona_Hercog,1280x720,25.0,zjX2sRXaGVk
20180710-W-Wimbledon-QF-Angelique_Kerber-Daria_Kasatkina,1280x720,25.0,rR8PfwoyDeE
20170705-W-Wimbledon-R64-Donna_Vekic-Johanna_Konta,1280x720,25.0,RXUl2lYAFAQ
20140627-W-Wimbledon-R32-Venus_Williams-Petra_Kvitova,1280x720,25.0,7FOnSOqUXcE
20070704-W-Wimbledon-QF-Serena_Williams-Justine_Henin,1280x720,25.0,2Ny-8rqeRhI
20150707-W-Wimbledon-QF-Victoria_Azarenka-Serena_Williams,1280x720,25.0,XK0uXbNUz_g
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1280x720,25.0,SNWUNIwk9l0
20130701-W-Wimbledon-R16-Sabine_Lisicki-Serena_Williams,1280x720,25.0,ToReh_f_Sg8
20090702-W-Wimbledon-SF-Serena_Williams-Elena_Dementieva,1280x720,25.0,J3vWA9BR40w
20130704-W-Wimbledon-SF-Agnieszka_Radwanska-Sabine_Lisicki,1280x720,25.0,H7JrObhP_hA
20130702-W-Wimbledon-QF-Agnieszka_Radwanska-Na_Li,1280x720,25.0,hgN8_FRFlVQ
20120703-W-Wimbledon-QF-Sabine_Lisicki-Angelique_Kerber,1280x720,25.0,6FfMCQCwAV4
20160706-M-Wimbledon-QF-Marin_Cilic-Roger_Federer,1280x720,25.0,Ipg7FIDrHqo
20130705-M-Wimbledon-SF-Novak_Djokovic-Juan_Martin_Del_Potro,1280x720,25.0,qLEim--2L6M
20100621-M-Wimbledon-R128-Novak_Djokovic-Olivier_Rochus,1280x720,25.0,54EiDLueKGc
20230129-M-Australian_Open-F-Novak_Djokovic-Stefanos_Tsitsipas,1280x720,25.0,FE2or3g488o
20230128-W-Australian_Open-F-Aryna_Sabalenka-Elena_Rybakina,1280x720,25.0,-2pRgM36Rjs
20230127-M-Australian_Open-SF-Stefanos_Tsitsipas-Karen_Khachanov,1280x720,25.0,Zh-CSmm1YcM
20230127-M-Australian_Open-SF-Novak_Djokovic-Tommy_Paul,1280x720,25.0,7dSqbzWPxek
20230126-W-Australian_Open-SF-Elena_Rybakina-Victoria_Azarenka,1280x720,25.0,enbx3eLRjmU
20230126-W-Australian_Open-SF-Aryna_Sabalenka-Magda_Linette,1280x720,25.0,N1rsRlM7gCI
20230125-W-Australian_Open-QF-Magda_Linette-Karolina_Pliskova,1280x720,25.0,hg26Wb9jzkY
20230125-W-Australian_Open-QF-Aryna_Sabalenka-Donna_Vekic,1280x720,25.0,9slLFh6h8a0
20230125-M-Australian_Open-QF-Novak_Djokovic-Andrey_Rublev,1280x720,25.0,GRVEHRyNNB8
20230125-M-Australian_Open-QF-Ben_Shelton-Tommy_Paul,1280x720,25.0,KMflCz1WDpA
20230124-W-Australian_Open-QF-Victoria_Azarenka-Jessica_Pegula,1280x720,25.0,0bvk9bQSGw4
20230124-W-Australian_Open-QF-Jelena_Ostapenko-Elena_Rybakina,1280x720,24.975024975024976,qCB2kFtHd3c
20230124-M-Australian_Open-QF-Stefanos_Tsitsipas-Jiri_Lehecka,1280x720,25.0,poVOsgeqhr8
20220130-M-Australian_Open-F-Rafael_Nadal-Daniil_Medvedev,1280x720,25.0,6I06-ITW88k&t=256s
20220129-W-Australian_Open-F-Ashleigh_Barty-Danielle_Collins,1280x720,25.0,xqYKxmGc1Ys
20220128-M-Australian_Open-SF-Stefanos_Tsitsipas-Daniil_Medvedev,1280x720,25.0,pFIP6kY8yoA
20220128-M-Australian_Open-SF-Rafael_Nadal-Matteo_Berrettini,1280x720,25.0,V4BIQoQPAG8
20220127-W-Australian_Open-SF-Madison_Keys-Ashleigh_Barty,1280x720,24.975024975024976,qpUPqxn9KeE
20220127-W-Australian_Open-SF-Iga_Swiatek-Danielle_Collins,1280x720,24.975024975024976,UG2J-R-BWQk
20220126-W-Australian_Open-QF-Madison_Keys-Barbora_Krejcikova,1280x720,25.0,v3wX9dy5f0I
20220126-W-Australian_Open-QF-Iga_Swiatek-Kaia_Kanepi,1280x720,25.0,tf5Jwx_4MaE
20220126-W-Australian_Open-QF-Danielle_Collins-Alize_Cornet,1280x720,25.0,LL4jLHIIPws
20220126-M-Australian_Open-QF-Stefanos_Tsitsipas-Jannik_Sinner,1280x720,25.0,6xkdVotg750
20220126-M-Australian_Open-QF-Daniil_Medvedev-Felix_Auger_Aliassime,1280x720,25.0,g7E5FPLEiGg
20220125-M-Australian_Open-QF-Rafael_Nadal-Denis_Shapovalov,1280x720,25.0,La6hLTavOJ8
20210221-M-Australian_Open-F-Novak_Djokovic-Daniil_Medvedev,1280x720,25.0,MG-RjlqyaJI&t=894s
20210220-W-Australian_Open-F-Naomi_Osaka-Jennifer_Brady,1280x720,25.0,AnWCIikbiO0
20210219-M-Australian_Open-SF-Stefanos_Tsitsipas-Daniil_Medvedev,1280x720,25.0,5qu8Af7fZ0E
20210218-W-Australian_Open-SF-Naomi_Osaka-Serena_Williams,1280x720,25.0,pUR_-t7oitU
20210218-M-Australian_Open-SF-Novak_Djokovic-Aslan_Karatsev,1280x720,25.0,hr9POFmnZhc
20210217-M-Australian_Open-QF-Rafael_Nadal-Stefanos_Tsitsipas,1280x720,25.0,2d3R0E3LM4c
20230119-W-Australian_Open-R64-Marketa_Vondrousova-Ons_Jabeur,1280x720,25.0,0ZAjJC4Zpzo
20200130-M-Australian_Open-SF-Roger_Federer-Novak_Djokovic,1280x720,25.0,i29zruv8mKc
20200129-M-Australian_Open-QF-Rafael_Nadal-Dominic_Thiem,1280x720,25.0,wQBlMkVI8F8
20200128-W-Australian_Open-QF-Ashleigh_Barty-Petra_Kvitova,1280x720,25.0,20KoAqddwoY
20200126-W-Australian_Open-R16-Petra_Kvitova-Maria_Sakkari,1280x720,29.97002997002997,JglyNTcMD7Y
20200201-W-Australian_Open-F-Sofia_Kenin-Garbine_Muguruza,1280x720,25.0,FY1DeATclio
20210216-M-Australian_Open-QF-Novak_Djokovic-Alexander_Zverev,1280x720,25.0,QVw6bS-GwgU
20190124-M-Australian_Open-SF-Stefanos_Tsitsipas-Rafael_Nadal,1280x720,25.0,2d3R0E3LM4c&t=2s
20190124-W-Australian_Open-SF-Karolina_Pliskova-Naomi_Osaka,1280x720,25.0,oyMsuzabxUc
20220911-M-US_Open-F-Casper_Ruud-Carlos_Alcaraz,1280x720,29.97,HCIhFyeQxu0
20220910-W-US_Open-F-Iga_Swiatek-Ons_Jabeur,1280x720,29.97,4LKEnBAmhSU
20220909-M-US_Open-SF-Frances_Tiafoe-Carlos_Alcaraz,1280x720,29.97,monj8eP5LQM
20220909-M-US_Open-SF-Casper_Ruud-Karen_Khachanov,1280x720,29.97002997002997,RzForrdfhbI
20220908-W-US_Open-SF-Iga_Swiatek-Aryna_Sabalenka,1280x720,29.97,inUPKBQKUHE
20220908-W-US_Open-SF-Caroline_Garcia-Ons_Jabeur,1280x720,29.97,-2NddXRxW04
20220907-W-US_Open-QF-Karolina_Pliskova-Aryna_Sabalenka,1280x720,29.97002997002997,EOMFFpJxNR0
20220907-W-US_Open-QF-Iga_Swiatek-Jessica_Pegula,1280x720,29.97,dEBO7DcYhtQ
20220907-M-US_Open-QF-Jannik_Sinner-Carlos_Alcaraz,1280x720,29.97,XNYhoYjRs3Y
20220907-M-US_Open-QF-Andrey_Rublev-Frances_Tiafoe,1280x720,29.97,OsQzOCVrSzk
20220906-W-US_Open-QF-Caroline_Garcia-Cori_Gauff,1280x720,29.97002997002997,I1GIYvveiMQ
20220906-W-US_Open-QF-Ajla_Tomljanovic-Ons_Jabeur,1280x720,29.97,rEeWPxtV1PQ
20220906-M-US_Open-QF-Karen_Khachanov-Nick_Kyrgios,1280x720,29.97,mvbdH85TLV4
20220906-M-US_Open-QF-Casper_Ruud-Matteo_Berrettini,1280x720,29.97002997002997,G7T5Z3WwE1M
20210912-M-US_Open-F-Novak_Djokovic-Daniil_Medvedev,1280x720,29.97002997002997,yACtNdJaBso
20210911-W-US_Open-F-Emma_Raducanu-Leylah_Fernandez,1280x720,29.97002997002997,F99Kz2eptqM
20210910-M-US_Open-SF-Novak_Djokovic-Alexander_Zverev,1280x720,29.97002997002997,_g1lEtQXtxE
20210910-M-US_Open-SF-Felix_Auger_Aliassime-Daniil_Medvedev,1280x720,29.97002997002997,D2I3RakqjsQ
20210909-W-US_Open-SF-Emma_Raducanu-Maria_Sakkari,1280x720,29.97002997002997,Lg2_-XjjvyY
20210909-W-US_Open-SF-Aryna_Sabalenka-Leylah_Fernandez,1280x720,29.97002997002997,l-q5_tmOkqg
20210908-W-US_Open-QF-Karolina_Pliskova-Maria_Sakkari,1280x720,29.97002997002997,ZvYo86KAhgE
20210908-W-US_Open-QF-Emma_Raducanu-Belinda_Bencic,1280x720,29.97002997002997,4zesQM7qmfc
20210908-M-US_Open-QF-Novak_Djokovic-Matteo_Berrettini,1280x720,29.97002997002997,LWBMqafBEoE
20210907-W-US_Open-QF-Leylah_Fernandez-Elina_Svitolina,1280x720,29.97002997002997,WsBvZFKeT-8
20200913-M-US_Open-F-Dominic_Thiem-Alexander_Zverev,1280x720,29.97002997002997,Mac4XI3ka5I
20200912-W-US_Open-F-Naomi_Osaka-Victoria_Azarenka,1280x720,29.97002997002997,LVjO-dH0P6c
20200911-M-US_Open-SF-Dominic_Thiem-Daniil_Medvedev,1280x720,29.97002997002997,vf5edF2BUpg
20200910-W-US_Open-SF-Victoria_Azarenka-Serena_Williams,1280x720,29.97002997002997,bUwdsaGW7yg
20200910-W-US_Open-SF-Naomi_Osaka-Jennifer_Brady,1280x720,29.97002997002997,G9IQCq-PT4M
20200909-W-US_Open-QF-Serena_Williams-Tsvetana_Pironkova,1280x720,29.97002997002997,kk-tUHeQLcA
20200909-M-US_Open-QF-Andrey_Rublev-Daniil_Medvedev,1280x720,29.97002997002997,kIP2NAeTaDQ
20200908-W-US_Open-QF-Naomi_Osaka-Shelby_Rogers,1280x720,29.97002997002997,6NCDNdB43qU
20200908-M-US_Open-QF-Denis_Shapovalov-Pablo_Carreno_Busta,1280x720,29.97002997002997,38YDcgSSmG0
20200908-M-US_Open-QF-Borna_Coric-Alexander_Zverev,1280x720,29.97002997002997,bEr_zEOqb4w
20190908-M-US_Open-F-Rafael_Nadal-Daniil_Medvedev,1280x720,29.97002997002997,ROaqNQ-12Js
20190907-W-US_Open-F-Serena_Williams-Bianca_Andreescu,1280x720,29.97002997002997,GCzsODijnqw
20190906-M-US_Open-SF-Rafael_Nadal-Matteo_Berrettini,1280x720,29.97002997002997,3UE8YEvh3AE
20190906-M-US_Open-SF-Grigor_Dimitrov-Daniil_Medvedev,1280x720,29.97002997002997,mLGcEqse4H4
20210905-W-US_Open-R16-Leylah_Fernandez-Angelique_Kerber,1280x720,29.97002997002997,8LJubnASt6s
20210903-W-US_Open-R32-Leylah_Fernandez-Naomi_Osaka,1280x720,29.97002997002997,2jw0D61Fle4
20180605-M-Roland_Garros-QF-Marco_Cecchinato-Novak_Djokovic,1280x720,25.0,BCjHPehrILw
20130607-M-Roland_Garros-SF-Novak_Djokovic-Rafael_Nadal,1280x720,25.0,sEiB2E_N3OA
20201011-M-Roland_Garros-F-Novak_Djokovic-Rafael_Nadal,1280x720,30.0,saFt_DHs3aA
